Date,ABBV,ABT,ACN,AMT,ANET,AXP,BA,BAC,BLK,BP,BRK-B,C,CAT,CL,COP,CRM,CVS,CVX,D,DE,DHR,DIS,DUK,ETN,F,FCX,GE,GM,GS,HD,IBM,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MMM,MO,MRK,MS,NEE,NEM,NKE,NOW,NVO,O,ORCL,PFE,PG,PLD,PM,RTX,SHEL,SHW,SLB,SO,SPGI,T,TGT,TJX,TMO,TSM,UL,UNH,UNP,UPS,V,VZ,WFC,WM,WMT,XOM
2024-09-16,183.28565979003906,112.80463409423828,340.69940185546875,224.0662841796875,89.79000091552734,255.55348205566406,155.5500030517578,37.40371322631836,858.7722778320312,28.914134979248047,451.7799987792969,55.47657775878906,339.4818420410156,100.60004425048828,99.12767791748047,253.26443481445312,54.09495544433594,130.77198791503906,53.57561111450195,384.3610534667969,272.5717468261719,89.75680541992188,109.64898681640625,299.2991027832031,9.587870597839355,41.81768798828125,179.366943359375,45.981040954589844,466.287353515625,362.88677978515625,205.84193420410156,158.1958770751953,199.4786834716797,68.58909606933594,462.62811279296875,910.78662109375,543.2088623046875,246.70126342773438,491.7973937988281,282.65325927734375,129.58926391601562,45.8564567565918,111.15470123291016,95.03369140625,79.79219055175781,51.6020393371582,75.57585906982422,178.49200439453125,126.89295196533203,56.206390380859375,166.6665496826172,26.256933212280273,167.9306640625,121.8824691772461,116.97718048095703,115.14929962158203,62.933414459228516,372.36572265625,38.28496551513672,84.1966552734375,491.0177917480469,20.313636779785156,141.43576049804688,116.69607543945312,610.3154296875,165.44918823242188,69.01099395751953,561.6782836914062,241.47706604003906,113.7524185180664,286.1657409667969,39.47063064575195,51.49662399291992,201.9956512451172,79.11595916748047,105.71308135986328
2024-09-17,181.15061950683594,113.28411102294922,324.26666259765625,223.25511169433594,90.23750305175781,259.7720642089844,156.38999938964844,37.83418655395508,867.7324829101562,29.137928009033203,456.67999267578125,56.33167266845703,345.0722351074219,99.76988983154297,101.70096588134766,251.56883239746094,53.594505310058594,131.98684692382812,53.41084289550781,387.4971008300781,269.0563659667969,90.74378967285156,108.74534606933594,304.3565673828125,9.676645278930664,42.051692962646484,178.26962280273438,46.618709564208984,466.5084228515625,364.05517578125,202.96986389160156,158.2716827392578,200.8126220703125,68.30370330810547,459.4621276855469,893.6663818359375,537.60546875,246.7781219482422,495.0384216308594,279.852294921875,128.58807373046875,44.79208755493164,111.46566772460938,94.79631042480469,80.1032943725586,51.58261489868164,76.37139892578125,177.16600036621094,122.35113525390625,56.0360107421875,163.86807250976562,26.0473690032959,166.64212036132812,121.49591827392578,114.43277740478516,114.69528198242188,63.01664733886719,371.3244934082031,39.32737731933594,83.97186279296875,486.3624572753906,19.86667823791504,140.62142944335938,114.96919250488281,606.6781616210938,163.75637817382812,68.2320556640625,551.0194091796875,242.5485076904297,115.28782653808594,287.2296447753906,38.66368103027344,52.1859245300293,196.95352172851562,77.19110107421875,107.09182739257812
2024-09-18,180.6730499267578,110.16742706298828,323.43927001953125,219.99185180664062,90.42749786376953,256.6203308105469,155.11000061035156,37.901153564453125,885.1825561523438,29.030506134033203,456.6000061035156,56.911231994628906,346.4674377441406,98.45310974121094,102.01087951660156,249.2386474609375,54.14128494262695,132.49305725097656,52.5504150390625,390.6037902832031,268.49346923828125,91.44738006591797,107.9534912109375,307.20751953125,9.74766731262207,42.821929931640625,181.45285034179688,47.73709487915039,465.7298889160156,364.7865905761719,203.73764038085938,157.40011596679688,199.16197204589844,68.25614166259766,454.9519348144531,892.4730224609375,536.1642456054688,246.69163513183594,488.8824768066406,278.2137145996094,128.3858642578125,44.90739440917969,111.79548645019531,94.28359985351562,79.45281982421875,51.5340461730957,76.61763000488281,178.0780029296875,122.40675354003906,55.766998291015625,160.9912872314453,25.97751235961914,164.78506469726562,119.75179290771484,112.32483673095703,114.02872467041016,63.03513717651367,368.68194580078125,39.251564025878906,83.37239074707031,483.69976806640625,19.821069717407227,142.13902282714844,114.39356231689453,606.3106079101562,163.6878662109375,67.75834655761719,553.5840454101562,240.3004150390625,115.28782653808594,284.19537353515625,38.48825454711914,51.94658279418945,195.75115966796875,77.61339569091797,107.46699523925781
2024-09-19,181.30979919433594,109.46739196777344,322.5348815917969,216.5980224609375,94.83000183105469,263.05108642578125,154.58999633789062,39.096920013427734,896.8480224609375,29.325912475585938,459.7099914550781,59.87556076049805,364.2142639160156,97.33672332763672,103.82344818115234,262.6272277832031,54.12276077270508,133.44100952148438,52.61448669433594,399.0378112792969,272.9667663574219,91.32034301757812,107.26410675048828,321.1400146484375,9.694402694702148,44.011436462402344,184.0330047607422,47.69784927368164,484.2310791015625,370.79974365234375,202.7423553466797,156.14016723632812,201.9930419921875,67.18115997314453,457.0365905761719,902.4038696289062,535.870361328125,250.8923797607422,487.1532897949219,279.9476318359375,128.8479766845703,44.55260467529297,110.4668197631836,95.64136505126953,77.57678985595703,51.9808235168457,76.69338989257812,183.85000610351562,125.02061462402344,54.430877685546875,163.98550415039062,25.89892578125,162.53005981445312,121.14710235595703,111.19194030761719,114.78223419189453,63.959815979003906,373.04351806640625,40.511940002441406,83.23188018798828,488.0757141113281,19.48357582092285,144.81338500976562,115.40823364257812,616.3773803710938,172.43588256835938,67.70572662353516,550.1708374023438,237.66018676757812,116.59378814697266,281.00347900390625,38.54087829589844,53.42091751098633,198.4273681640625,76.64114379882812,108.79883575439453
2024-09-20,181.16934204101562,109.03584289550781,323.47772216796875,219.16204833984375,96.11499786376953,263.2859802246094,153.2899932861328,38.52294921875,891.0152587890625,29.218496322631836,455.30999755859375,59.039466857910156,359.8335876464844,98.3386001586914,103.18482971191406,263.4270324707031,53.29793930053711,134.0760498046875,53.02640151977539,395.2980651855469,269.21435546875,91.61351013183594,108.40997314453125,322.78021240234375,9.658890724182129,43.416683197021484,185.28846740722656,47.95291519165039,479.0411376953125,370.34375,206.35379028320312,155.5149383544922,202.57843017578125,68.1514892578125,459.7056884765625,908.764892578125,542.2608032226562,250.065673828125,486.8865051269531,282.7865905761719,129.7432861328125,44.694522857666016,110.41028594970703,97.29345703125,78.01986694335938,52.903499603271484,81.94013977050781,187.4720001220703,118.18934631347656,55.26483154296875,164.3866729736328,25.689355850219727,165.0692901611328,118.29048156738281,112.16696166992188,114.1349868774414,63.5437126159668,371.8353271484375,40.189735412597656,84.01868438720703,487.5635681152344,19.647762298583984,143.2032470703125,115.05699920654297,609.8582153320312,170.3418426513672,67.80046844482422,548.1973876953125,234.74252319335938,113.4788589477539,280.5404968261719,38.88295364379883,53.890037536621094,197.9037628173828,77.6428451538086,108.11416625976562
2024-09-23,181.5064697265625,110.10030364990234,326.3544006347656,220.29022216796875,96.39250183105469,261.63177490234375,156.3000030517578,38.14030456542969,899.4765625,29.41543197631836,454.9800109863281,59.45751953125,362.1263732910156,98.57715606689453,103.01577758789062,260.8697204589844,53.35354232788086,135.78787231445312,52.96232986450195,398.2781982421875,269.7278137207031,90.85128021240234,109.2856674194336,321.9894104003906,9.685524940490723,44.011436462402344,186.51434326171875,47.12885284423828,478.06085205078125,372.338623046875,209.00787353515625,154.6244354248047,202.91433715820312,68.23711395263672,465.0147705078125,905.8359375,550.4053955078125,252.13246154785156,491.2342224121094,284.9111633300781,130.5808563232422,45.2533073425293,108.9591293334961,97.29345703125,79.9618911743164,52.913211822509766,81.6370849609375,185.11000061035156,114.65784454345703,55.883567810058594,162.3807373046875,25.59330940246582,164.6429443359375,119.38409423828125,112.44554138183594,116.18295288085938,63.87660217285156,375.12615966796875,40.65408706665039,84.78673553466797,485.15216064453125,19.602155685424805,143.7029571533203,114.27649688720703,606.5391845703125,171.00723266601562,68.31625366210938,546.6814575195312,233.412841796875,113.60240936279297,284.34320068359375,38.82155990600586,52.760337829589844,200.81268310546875,78.89009094238281,110.07441711425781
2024-09-24,181.20680236816406,108.69060516357422,326.7489013671875,220.4766845703125,96.26750183105469,260.5649108886719,155.80999755859375,37.738525390625,902.9492797851562,29.388578414916992,454.55999755859375,58.30788803100586,376.5267639160156,99.03517150878906,102.28324890136719,267.02099609375,53.826194763183594,135.70506286621094,52.19342803955078,400.16754150390625,270.7646789550781,91.55487060546875,108.04666137695312,319.64617919921875,9.650012016296387,47.50193405151367,187.49298095703125,47.15828323364258,478.6470947265625,380.6031494140625,209.45335388183594,154.20762634277344,203.0582733154297,67.85660552978516,466.9532775878906,911.664306640625,548.622802734375,255.73719787597656,481.6197509765625,286.0638732910156,132.10191345214844,45.40409469604492,108.32777404785156,97.39789581298828,79.46223449707031,54.24380874633789,82.83036804199219,184.72000122070312,116.27066040039062,56.09878921508789,162.23399353027344,25.759214401245117,164.14077758789062,119.43124389648438,112.5569839477539,115.96076202392578,64.18173217773438,374.8215637207031,40.729896545410156,84.04678344726562,482.3869323730469,19.693370819091797,144.52650451660156,114.7838363647461,608.0596313476562,178.06243896484375,68.17940521240234,548.3786010742188,238.15762329101562,114.29068756103516,268.72857666015625,39.17240905761719,51.85084533691406,201.21994018554688,79.22399139404297,109.78367614746094
2024-09-25,179.099853515625,107.99055480957031,324.2762451171875,219.69349670410156,97.05249786376953,260.5257873535156,152.22000122070312,37.547203063964844,898.6995849609375,28.3591251373291,452.3599853515625,57.36728286743164,369.0338439941406,98.99700164794922,99.2967300415039,270.62481689453125,54.345176696777344,132.50225830078125,52.37649917602539,396.3108215332031,264.52386474609375,91.77963256835938,108.26091003417969,320.7786865234375,9.250519752502441,47.10218048095703,187.1667938232422,44.8626594543457,472.03472900390625,377.05987548828125,209.6998291015625,152.14242553710938,201.71473693847656,67.97074890136719,464.6737976074219,911.7925415039062,547.9686889648438,254.70864868164062,483.6355895996094,286.25439453125,131.50503540039062,45.271053314208984,108.11104583740234,97.17002868652344,79.77335357666016,53.670772552490234,83.34180450439453,178.00599670410156,117.67027282714844,56.1705207824707,162.7036590576172,25.26149559020996,163.21224975585938,118.21504974365234,113.00271606445312,116.7915267944336,62.896419525146484,374.4483337402344,39.62114715576172,83.69085693359375,479.32373046875,19.66600227355957,143.4993896484375,115.25212097167969,596.0352783203125,178.43426513671875,68.73731231689453,549.4464111328125,234.8477783203125,116.04669189453125,265.6253356933594,39.075927734375,51.32429504394531,201.38478088378906,79.94091033935547,107.64519500732422
2024-09-26,179.69915771484375,108.10564422607422,342.3252868652344,216.0945587158203,96.57499694824219,262.4637756347656,154.5800018310547,37.80549240112305,906.585205078125,27.562421798706055,454.17999267578125,58.63092041015625,381.43414306640625,98.3386001586914,96.08482360839844,272.2737731933594,54.688072204589844,130.6799774169922,52.29411697387695,400.732421875,273.46044921875,93.03045654296875,107.29203796386719,325.14300537109375,9.481339454650879,50.612178802490234,182.75120544433594,44.94114685058594,477.5899353027344,376.84136962890625,211.78515625,152.8907928466797,201.3212890625,67.92317962646484,469.2230224609375,896.7628784179688,547.4566650390625,255.32383728027344,485.4339599609375,289.2839660644531,134.23912048339844,45.315399169921875,106.56565856933594,99.31584930419922,78.6797866821289,53.933013916015625,84.6582260131836,176.9720001220703,115.2139892578125,56.027042388916016,164.48452758789062,25.296419143676758,164.1123504638672,118.06422424316406,113.48160552978516,116.23124694824219,60.41830062866211,377.14971923828125,39.0146484375,83.31619262695312,476.41888427734375,19.74810028076172,144.34146118164062,115.20336151123047,615.4630737304688,182.81805419921875,68.67415618896484,548.0162353515625,232.67625427246094,117.6526870727539,267.65472412109375,39.137325286865234,53.98576736450195,199.1061248779297,78.48743438720703,105.7974853515625
2024-09-27,182.4053955078125,107.81793975830078,336.44683837890625,214.7425994873047,95.06500244140625,265.31201171875,156.32000732421875,37.69070053100586,906.7675170898438,28.126380920410156,457.4700012207031,58.782936096191406,381.5512390136719,98.91114044189453,98.34819030761719,273.142578125,56.88450622558594,133.9011688232422,52.32157516479492,407.0920104980469,272.25457763671875,93.82200622558594,108.03734588623047,320.68109130859375,9.57011604309082,50.056427001953125,183.53335571289062,45.59843826293945,479.1180114746094,379.52972412109375,209.3301544189453,152.9002685546875,202.01220703125,68.29418182373047,467.10919189453125,865.6683349609375,552.1593627929688,256.79461669921875,487.77581787109375,289.3220520019531,132.17892456054688,45.27992248535156,107.13105773925781,98.8506088256836,79.69792175292969,52.34989547729492,84.70558166503906,176.35800170898438,111.93274688720703,56.25122833251953,165.1107635498047,25.401206970214844,164.43447875976562,118.40361022949219,113.2656478881836,116.29886627197266,61.13030242919922,375.970947265625,40.07602310180664,84.39335632324219,477.3685302734375,19.976139068603516,143.60113525390625,114.6374740600586,610.583740234375,174.14828491210938,68.88467407226562,554.72802734375,233.62327575683594,118.47332763671875,271.08306884765625,39.374141693115234,53.516666412353516,199.27093505859375,78.34994506835938,108.63002014160156
