symbol,name,exchange,sector,currency,price,pct_change,market_cap,ytd_change,as_of
FFIONEABMM,,NGX,,NGN,100.0,0.0,,,2026-09-23
FFIONEVBF,,NGX,,NGN,2.15,0.0,,,2026-09-23
FFIONEVGIF,,NGX,,NGN,1.0,0.0,,,2026-09-23
FFLEGYDTFD,,NGX,,NGN,3.35,0.0,,,2026-09-23
FFLEGYEYFD,,NGX,,NGN,1.18,0.0,,,2026-09-23
FFLEGYMMFD,,NGX,,NGN,100.0,0.0,,,2026-09-23
FFLEGYUBFD,,NGX,,NGN,1.04,0.0,,,2026-09-23
FFSFSFIXED,,NGX,,NGN,1.03,0.0,,,2026-09-23
FFUNCAPBDF,,NGX,,NGN,1.65,0.0,,,2026-09-23
FFUNCAPBLF,,NGX,,NGN,1.23,0.0,,,2026-09-23
FFUNCAPEBF,,NGX,,NGN,109.3,0.0,,,2026-09-23
FFUNCAPEQF,,NGX,,NGN,0.72,0.0,,,2026-09-23
FFUNCAPMMF,,NGX,,NGN,1.0,0.0,,,2026-09-23
FFUNCAPWFF,,NGX,,NGN,1.12,0.0,,,2026-09-23
FG112034S2,,NGX,,NGN,73.0,0.0,,,2026-09-23
FG132036S2,,NGX,,NGN,109.7,0.0,,,2026-09-23
FG142027S1,,NGX,,NGN,67.5181,0.0,,,2026-09-23
FG142037S2,,NGX,,NGN,95.5,0.0,,,2026-09-23
FG152028S1,,NGX,,NGN,80.5,0.0,,,2026-09-23
FG162029S1,,NGX,,NGN,75.0,0.0,,,2026-09-23
FG162049S2,,NGX,,NGN,104.9999,0.0,,,2026-09-23
FG172035S1,,NGX,,NGN,106.32,0.0,,,2026-09-23
FG172045S3,,NGX,,NGN,100.0,0.0,,,2026-09-23
FG172050S2,,NGX,,NGN,104.9997,0.0,,,2026-09-23
FG182032S2,,NGX,,NGN,100.0,0.0,,,2026-09-23
FG182042S1,,NGX,,NGN,100.0,0.0,,,2026-09-23
FG192033S1,,NGX,,NGN,100.0,0.0,,,2026-09-23
FG192038S2,,NGX,,NGN,95.0001,0.0,,,2026-09-23
FG192053S3,,NGX,,NGN,109.356,0.0,,,2026-09-23
FG202027S3,,NGX,,NGN,102.2317,0.0,,,2026-09-23
FG202029S5,,NGX,,NGN,109.867,0.0,,,2026-09-23
FG202031S1,,NGX,,NGN,106.35,0.0,,,2026-09-23
FG202033S6,,NGX,,NGN,113.5315,0.0,,,2026-09-23
FG202034S2,,NGX,,NGN,109.9942,0.0,,,2026-09-23
FG212030S12,,NGX,,NGN,100.0,0.0,,,2026-09-23
FG212032S11,,NGX,,NGN,100.0,0.0,,,2026-09-23
FG212035S1,,NGX,,NGN,124.8565,0.0,,,2026-09-23
FG5B2028S5,,NGX,,NGN,100.0,0.0,,,2026-09-23
FG6B2029S3,,NGX,,NGN,100.0,0.0,,,2026-09-23
FG6B2029S5,,NGX,,NGN,100.0,0.0,,,2026-09-23
FG7B2030S3,,NGX,,NGN,70.5001,0.0,,,2026-09-23
FIDELITYBK,,NGX,FINANCIAL SERVICES,NGN,20.1,-0.25,1269790000000.0,0.0579,2026-09-23
FIDSON,,NGX,HEALTHCARE,NGN,80.0,0.0,240000000000.0,0.5968,2026-09-23
FIRSTHOLDCO,,NGX,FINANCIAL SERVICES,NGN,165.0,1.35,7503370000000.0,2.4447,2026-09-23
FTGINSURE,FTGINSURE [DWL],NGX,FINANCIAL SERVICES,NGN,2.0,2.56,36450000000.0,9.0,2026-09-23
FTNCOCOA,FTNCOCOA [RST],NGX,AGRICULTURE,NGN,8.1,1.25,31590000000.0,0.62,2026-09-23
GEREGU,,NGX,UTILITIES,NGN,825.7,0.0,2064250000000.0,-0.2767,2026-09-23
GOLDBREW,GOLDBREW [BMF],NGX,CONSUMER GOODS,NGN,7.1,0.0,7120000000.0,,2026-09-23
GREENWETF,Greenwich Alpha ETF,NGX,ETF,NGN,849.99,5.72,0.0,1.2368000000000001,2026-09-23
GTCO,,NGX,FINANCIAL SERVICES,NGN,137.5,0.15,5025650000000.0,0.516,2026-09-23
GUINEAINS,,NGX,FINANCIAL SERVICES,NGN,0.75,7.14,5950000000.0,-0.4361,2026-09-23
GUINNESS,,NGX,CONSUMER GOODS,NGN,384.8,0.0,842850000000.0,0.09970000000000001,2026-09-23
HBMNG,,NGX,INDUSTRIAL GOODS,NGN,359.6,-0.53,,,2026-09-23
HMCALL,,NGX,CONSTRUCTION/REAL ESTATE,NGN,3.28,9.7,,,2026-09-23
HONYFLOUR,,NGX,CONSUMER GOODS,NGN,16.85,7.67,133620000000.0,-0.2306,2026-09-23
IKEJAHOTEL,,NGX,SERVICES,NGN,44.5,0.0,96220000000.0,0.0621,2026-09-23
IMG,,NGX,NATURAL RESOURCES,NGN,28.0,1.27,19070000000.0,-0.125,2026-09-23
INFINITY,INFINITY [BLS],NGX,FINANCIAL SERVICES,NGN,11.25,0.0,93830000000.0,0.6071,2026-09-23
INTBREW,,NGX,CONSUMER GOODS,NGN,9.75,1.04,1640840000000.0,-0.3036,2026-09-23
INTENEGINS,,NGX,FINANCIAL SERVICES,NGN,2.3,2.68,21520000000.0,-0.08,2026-09-23
JAIZBANK,,NGX,FINANCIAL SERVICES,NGN,8.0,1.91,356710000000.0,0.7582,2026-09-23
JAPAULGOLD,,NGX,OIL AND GAS,NGN,2.6,1.56,37080000000.0,0.1255,2026-09-23
JBERGER,,NGX,CONSTRUCTION/REAL ESTATE,NGN,310.8,0.0,497280000000.0,1.0327,2026-09-23
JOHNHOLT,,NGX,CONGLOMERATES,NGN,8.0,9.59,3110000000.0,0.6327,2026-09-23
JULI,,NGX,SERVICES,NGN,6.55,0.0,1300000000.0,-0.1873,2026-09-23
LASACO,LASACO [BLS],NGX,FINANCIAL SERVICES,NGN,1.8,-1.67,36570000000.0,-0.26530000000000004,2026-09-23
LEARNAFRCA,,NGX,SERVICES,NGN,8.6,0.0,6630000000.0,0.313,2026-09-23
LEGENDINT,,NGX,ICT,NGN,3.6,5.88,7200000000.0,-0.3195,2026-09-23
LINKASSURE,,NGX,FINANCIAL SERVICES,NGN,1.63,-1.21,50200000000.0,-0.0843,2026-09-23
LIVESTOCK,,NGX,AGRICULTURE,NGN,8.15,4.49,24440000000.0,0.3471,2026-09-23
LIVINGTRUST,,NGX,FINANCIAL SERVICES,NGN,2.6,0.0,13000000000.0,-0.2464,2026-09-23
LOTUSHAL15,Lotus Halal Equity ETF,NGX,ETF,NGN,135.6,3.12,0.0,0.6740999999999999,2026-09-23
MANSARD,,NGX,FINANCIAL SERVICES,NGN,11.5,2.68,103500000000.0,-0.1606,2026-09-23
MAYBAKER,,NGX,HEALTHCARE,NGN,41.3,5.9,71250000000.0,1.1737,2026-09-23
MBENEFIT,,NGX,FINANCIAL SERVICES,NGN,3.44,-1.71,69010000000.0,0.1097,2026-09-23
MCNICHOLS,,NGX,CONSUMER GOODS,NGN,5.05,0.0,5630000000.0,0.5443,2026-09-23
MECURE,,NGX,HEALTHCARE,NGN,56.2,0.0,224800000000.0,-0.138,2026-09-23
MERGROWTH,Meristem Growth ETF,NGX,ETF,NGN,128.0,0.79,0.0,-0.6988,2026-09-23
MERVALUE,Meristem Value ETF,NGX,ETF,NGN,148.47,0.35,0.0,-0.6091,2026-09-23
MEYER,,NGX,INDUSTRIAL GOODS,NGN,15.95,0.0,,,2026-09-23
MOFIREIF,,NGX,CONSTRUCTION/REAL ESTATE,NGN,100.0,0.0,100000000000.0,,2026-09-23
MORISON,MORISON [BLS],NGX,HEALTHCARE,NGN,10.4,0.0,13060000000.0,1.0194,2026-09-23
MTNN,,NGX,ICT,NGN,855.0,0.59,17951200000000.0,0.6731999999999999,2026-09-23
MULTITREX,MULTITREX [DWL],NGX,CONSUMER GOODS,NGN,0.36,0.0,2240000000.0,,2026-09-23
MULTIVERSE,,NGX,NATURAL RESOURCES,NGN,19.2,0.0,8180000000.0,0.4382,2026-09-23
NAHCO,,NGX,SERVICES,NGN,140.0,7.69,311850000000.0,0.2963,2026-09-23
NASCON,,NGX,CONSUMER GOODS,NGN,183.4,4.2,495620000000.0,0.706,2026-09-23
NB,,NGX,CONSUMER GOODS,NGN,77.9,0.0,2413570000000.0,0.0345,2026-09-23
NCR,,NGX,ICT,NGN,161.2,0.0,17400000000.0,1.2173,2026-09-23
NEIMETH,,NGX,HEALTHCARE,NGN,8.3,4.4,35460000000.0,0.431,2026-09-23
NEM,,NGX,FINANCIAL SERVICES,NGN,28.7,0.0,143970000000.0,0.0709,2026-09-23
NESTLE,,NGX,CONSUMER GOODS,NGN,2900.0,0.0,2298700000000.0,0.48109999999999997,2026-09-23
NEWGOLD,NewGold ETF,NGX,ETF,NGN,95000.0,-2.06,0.0,0.6102000000000001,2026-09-23
NGXGROUP,,NGX,FINANCIAL SERVICES,NGN,185.0,0.0,484480000000.0,1.6429,2026-09-23
NIDF,,NGX,CONSTRUCTION/REAL ESTATE,NGN,147.7,0.0,176840000000.0,0.2843,2026-09-23
NNFM,,NGX,CONSUMER GOODS,NGN,79.4,0.0,14140000000.0,-0.0581,2026-09-23
NPFMCRFBK,,NGX,FINANCIAL SERVICES,NGN,4.05,-2.41,24270000000.0,0.0916,2026-09-23
NREIT,,NGX,CONSTRUCTION/REAL ESTATE,NGN,113.0,0.0,187210000000.0,0.0971,2026-09-23
NSLTECH,,NGX,SERVICES,NGN,0.74,-5.41,4160000000.0,-0.0263,2026-09-23
OANDO,,NGX,OIL AND GAS,NGN,36.15,0.42,449390000000.0,-0.1007,2026-09-23
OKOMUOIL,,NGX,AGRICULTURE,NGN,1276.2,0.0,1217370000000.0,0.1655,2026-09-23
OMATEK,,NGX,ICT,NGN,1.48,9.63,4350000000.0,0.3097,2026-09-23
PHARMDEKO,PHARMDEKO [MRS],NGX,HEALTHCARE,NGN,1.83,0.0,390000000.0,,2026-09-23
PREMPAINTS,PREMPAINTS [RST],NGX,INDUSTRIAL GOODS,NGN,30.4,0.0,3730000000.0,2.04,2026-09-23
PRESCO,,NGX,AGRICULTURE,NGN,2045.3,0.0,2386180000000.0,0.4106,2026-09-23
PRESTIGE,PRESTIGE [BLS],NGX,FINANCIAL SERVICES,NGN,1.38,0.73,21550000000.0,-0.1266,2026-09-23
PZ,,NGX,CONSUMER GOODS,NGN,73.8,-0.94,293020000000.0,0.664,2026-09-23
REDSTAREX,,NGX,SERVICES,NGN,14.75,0.0,14070000000.0,0.6954,2026-09-23
REGALINS,,NGX,FINANCIAL SERVICES,NGN,0.71,1.43,13260000000.0,-0.34259999999999996,2026-09-23
RONCHESS,,NGX,CONSTRUCTION/REAL ESTATE,NGN,81.0,0.0,7370000000.0,,2026-09-23
ROYALEX,,NGX,FINANCIAL SERVICES,NGN,0.99,3.13,8180000000.0,-0.4677,2026-09-23
RTBRISCOE,,NGX,SERVICES,NGN,8.9,0.0,10460000000.0,1.5429,2026-09-23
SCOA,,NGX,CONGLOMERATES,NGN,33.05,0.0,21470000000.0,3.6549,2026-09-23
SEPLAT,,NGX,OIL AND GAS,NGN,14907.8,0.0,8943850000000.0,1.5663,2026-09-23
SFSREIT,,NGX,CONSTRUCTION/REAL ESTATE,NGN,418.75,0.0,8369999999.999999,,2026-09-23
SIAMLETF40,SIAML Pension ETF 40,NGX,ETF,NGN,3162.29,-10.0,0.0,0.7802,2026-09-23
SKYAVN,,NGX,SERVICES,NGN,171.2,0.0,231730000000.0,0.9356,2026-09-23
SOVRENINS,,NGX,FINANCIAL SERVICES,NGN,2.4,8.6,40170000000.0,-0.37170000000000003,2026-09-23
STACO,Standard Trust Assurance,NGX,Financials,NGN,0.48,,4480000000.0,,2026-09-23
STANBIC,,NGX,FINANCIAL SERVICES,NGN,164.0,0.09,2607890000000.0,0.64,2026-09-23
STANBICETF30,Stanbic IBTC ETF 30,NGX,ETF,NGN,1691.03,10.0,0.0,0.7447,2026-09-23
STERLINGNG,,NGX,FINANCIAL SERVICES,NGN,7.7,0.0,527460000000.00006,0.0922,2026-09-23
SUNUASSUR,SUNUASSUR [BLS],NGX,FINANCIAL SERVICES,NGN,3.08,0.0,24280000000.0,-0.44,2026-09-23
TANTALIZER,,NGX,SERVICES,NGN,3.89,-2.26,19450000000.0,0.556,2026-09-23
THOMASWY,THOMASWY [RST],NGX,NATURAL RESOURCES,NGN,2.78,9.88,610000000.0,0.0109,2026-09-23
TIP,,NGX,SERVICES,NGN,26.0,1.76,23130000000.0,0.9549,2026-09-23
TOTAL,,NGX,OIL AND GAS,NGN,576.0,0.0,,,2026-09-23
TOTALNG,TotalEnergies Marketing Nigeria,NGX,Oil & Gas,NGN,576.0,,195560000000.0,-0.1,2026-09-23
TRANSCOHOT,,NGX,SERVICES,NGN,265.5,0.0,2719390000000.0,0.5535,2026-09-23
TRANSCORP,,NGX,CONGLOMERATES,NGN,37.0,0.0,375990000000.0,-0.185,2026-09-23
TRANSEXPR,,NGX,SERVICES,NGN,3.0,7.14,2560000000.0,0.3953,2026-09-23
TRANSPOWER,,NGX,UTILITIES,NGN,178.0,0.0,1335000000000.0,-0.4202,2026-09-23
TRIPPLEG,,NGX,INDUSTRIAL GOODS,NGN,2.3,0.0,2270000000.0,-0.4796,2026-09-23
UACN,,NGX,CONGLOMERATES,NGN,172.0,0.0,503290000000.0,0.8901,2026-09-23
UBA,,NGX,FINANCIAL SERVICES,NGN,46.0,0.11,2033020000000.0,0.10439999999999999,2026-09-23
UBN,,NGX,,NGN,6.65,0.0,,,2026-09-23
UCAP,,NGX,FINANCIAL SERVICES,NGN,17.1,-5.0,307800000000.0,-0.08560000000000001,2026-09-23
UHOMREIT,,NGX,CONSTRUCTION/REAL ESTATE,NGN,70.0,0.0,17500000000.0,0.35,2026-09-23
UNILEVER,,NGX,CONSUMER GOODS,NGN,109.95,0.0,631660000000.0,0.5271,2026-09-23
UNIONDAC,,NGX,,NGN,0.28,0.0,,,2026-09-23
UNIONDICON,UNIONDICON [DWL],NGX,CONSUMER GOODS,NGN,23.75,0.0,6490000000.0,2.4419999999999997,2026-09-23
UNITYBNK,UNITYBNK [MRF],NGX,FINANCIAL SERVICES,NGN,1.51,0.0,17650000000.0,,2026-09-23
UNIVINSURE,,NGX,FINANCIAL SERVICES,NGN,0.77,0.0,12320000000.0,-0.3636,2026-09-23
UPDC,UPDC [BLS],NGX,CONSTRUCTION/REAL ESTATE,NGN,3.6,1.41,66810000000.0,-0.26530000000000004,2026-09-23
UPDCREIT,,NGX,CONSTRUCTION/REAL ESTATE,NGN,18.55,0.0,49490000000.0,1.6884000000000001,2026-09-23
UPL,,NGX,SERVICES,NGN,4.55,-9.0,1960000000.0,-0.24170000000000003,2026-09-23
VANLEER,Greif Nigeria,NGX,Industrials,NGN,5.45,,230000000.0,,2026-09-23
VERITASKAP,,NGX,FINANCIAL SERVICES,NGN,1.04,-5.45,30020000000.0,-0.3918,2026-09-23
VETBANK,Vetiva Banking ETF,NGX,ETF,NGN,29.0,-1.36,0.0,0.9333,2026-09-23
VETINDETF,Vetiva Industrial ETF,NGX,ETF,NGN,127.27,-2.08,0.0,1.1212,2026-09-23
VFDGROUP,,NGX,INVESTMENT,NGN,11.5,0.0,145680000000.0,0.0455,2026-09-23
VITAFOAM,,NGX,CONSUMER GOODS,NGN,194.0,0.0,291190000000.0,1.1087,2026-09-23
VSPBONDETF,Vetiva S&P Nigeria Sovereign Bond ETF,NGX,ETF,NGN,226.49,5.08,0.0,0.0461,2026-09-23
WAPCO,HBM Nigeria,NGX,Industrials,NGN,359.6,-0.53,5792360000000.0,1.6736000000000002,2026-09-23
WAPIC,,NGX,FINANCIAL SERVICES,NGN,2.23,-6.3,63610000000.0,-0.31379999999999997,2026-09-23
WEMABANK,,NGX,FINANCIAL SERVICES,NGN,31.8,-0.62,1275780000000.0,0.5588000000000001,2026-09-23
ZENITHBANK,,NGX,FINANCIAL SERVICES,NGN,135.0,2.27,5544420000000.0,1.1845,2026-09-23
ZICHIS,,NGX,AGRICULTURE,NGN,16.28,3.69,19530000000.0,,2026-09-23
